City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cody,44.5263,-109.0565,52.92,37,20,19.57,US,1699731671
1,nemuro,43.3236,145.575,34.74,71,4,13.02,JP,1699731673
2,puerto natales,-51.7236,-72.4875,48.65,40,75,18.41,CL,1699731674
3,hermanus,-34.4187,19.2345,60.3,85,33,10.42,ZA,1699731399
4,blackmans bay,-43.0167,147.3167,47.52,76,100,1.01,AU,1699731668
5,port lincoln,-34.7333,135.8667,54.41,72,98,14.9,AU,1699731678
6,tsiombe,-25.3,45.4833,69.64,69,0,16.84,MG,1699731680
7,freeport,40.6576,-73.5832,56.25,47,75,12.66,US,1699731440
8,ushuaia,-54.8,-68.3,42.46,81,75,19.57,AR,1699731682
9,adamstown,-25.066,-130.1015,73.04,82,48,13.44,PN,1699731684
10,aasiaat,68.7098,-52.8699,11.95,77,100,8.08,GL,1699731667
11,brisas de zicatela,15.8369,-97.0419,86.52,54,20,8.05,MX,1699731687
12,margaret river,-33.95,115.0667,51.91,77,77,14.16,AU,1699731664
13,marka,1.7159,44.7717,80.94,78,97,12.88,SO,1699731689
14,necochea,-38.5473,-58.7368,67.75,54,2,9.73,AR,1699731413
15,bethel,41.3712,-73.414,52.16,55,75,5.75,US,1699731686
16,albany,42.6001,-73.9662,46.58,55,4,1.99,US,1699731417
17,isafjordur,66.0755,-23.124,33.6,87,100,5.32,IS,1699731407
18,nova vicosa,-17.8919,-39.3719,80.55,68,0,17.34,BR,1699731695
19,lubao,14.9167,120.55,80.31,84,78,5.57,PH,1699731696
20,thunder bay,48.4001,-89.3168,37.38,65,100,5.75,CA,1699731409
21,udachny,66.4167,112.4,10.45,87,98,11.86,RU,1699731699
22,belmonte,-15.8631,-38.8828,79.92,72,0,12.37,BR,1699731700
23,yerofey pavlovich,53.9667,121.9667,11.01,73,99,4.07,RU,1699731701
24,kayangel,8.0823,134.7173,83.44,79,100,11.63,PW,1699731702
25,churapcha,62.0025,132.4325,-2.18,98,100,1.36,RU,1699731704
26,grytviken,-54.2811,-36.5092,37.45,91,54,2.82,GS,1699731705
27,thompson,55.7435,-97.8558,33.96,80,75,8.05,CA,1699731706
28,talnakh,69.4865,88.3972,14.43,95,100,7.83,RU,1699731669
29,edinburgh of the seven seas,-37.0676,-12.3116,58.57,90,87,21.52,SH,1699731708
30,novobureyskiy,49.798,129.8774,-3.57,98,13,3.06,RU,1699731710
31,fuglafjordur,62.244,-6.814,36.07,63,100,14.2,FO,1699731712
32,chinchilla,-26.75,150.6333,64.42,80,23,11.56,AU,1699731713
33,bilibino,68.0546,166.4372,-23.48,100,37,4.23,RU,1699731714
34,hamilton,39.1834,-84.5333,54.0,49,0,8.05,US,1699731636
35,kodiak,57.79,-152.4072,35.11,55,75,25.32,US,1699731670
36,callao,-12.0667,-77.15,73.69,60,20,14.97,PE,1699731717
37,broome,42.2506,-75.833,43.63,72,100,11.5,US,1699731458
38,vorkuta,67.5,64.0,19.92,96,100,8.19,RU,1699731719
39,merizo village,13.2658,144.6691,82.96,83,100,19.91,GU,1699731721
40,pabellon de arteaga,22.15,-102.25,73.35,41,99,7.67,MX,1699731722
41,keflavik,64.0049,-22.5624,37.83,87,75,14.97,IS,1699731705
42,port-aux-francais,-49.35,70.2167,37.85,66,11,14.14,TF,1699731724
43,tolanaro,-25.0319,46.9987,73.47,64,40,13.8,MG,1699731721
44,port elizabeth,-33.918,25.5701,65.32,79,40,11.5,ZA,1699731728
45,san jose de jachal,-30.2406,-68.7469,94.73,3,0,32.91,AR,1699731729
46,booue,-0.0921,11.9385,73.78,94,100,2.3,GA,1699731730
47,zubtsov,56.1753,34.5894,39.56,88,100,7.7,RU,1699731732
48,puerto ayora,-0.7393,-90.3518,87.76,89,69,8.99,EC,1699731733
49,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,98,75,20.13,RU,1699731654
50,yurty,56.0498,97.6348,5.94,97,5,2.37,RU,1699731735
51,anadyr,64.75,177.4833,1.9,77,20,8.95,RU,1699731736
52,georgetown,5.4112,100.3354,78.03,97,20,2.3,MY,1699731620
53,remire-montjoly,4.9167,-52.2667,83.17,75,7,12.03,GF,1699731443
54,karwar,14.8,74.1333,77.65,62,21,6.73,IN,1699731740
55,klyuchi,52.2667,79.1667,40.33,81,100,12.06,RU,1699731741
56,happy valley-goose bay,53.3168,-60.3315,28.71,64,75,5.75,CA,1699731742
57,pudozh,61.8099,36.5345,36.95,98,100,5.99,RU,1699731744
58,taradale,-39.5333,176.85,56.01,80,0,3.0,NZ,1699731745
59,arraial do cabo,-22.9661,-42.0278,85.96,74,0,13.8,BR,1699731538
60,hawaiian paradise park,19.5933,-154.9731,75.04,95,100,10.36,US,1699731748
61,hailun,47.45,126.9333,1.27,94,18,2.44,CN,1699731749
62,guerrero negro,27.9769,-114.0611,76.37,23,0,7.92,MX,1699731750
63,la passe,45.5549,-0.8967,52.03,97,100,15.1,FR,1699731682
64,titlagarh,20.3,83.15,68.2,66,0,1.21,IN,1699731753
65,peterhead,57.5058,-1.7981,39.45,75,52,10.83,GB,1699731754
66,avarua,-21.2078,-159.775,75.25,88,75,5.75,CK,1699731739
67,vorgashor,67.5833,63.95,19.76,96,100,8.43,RU,1699731708
68,mugia,43.1041,-9.2179,65.16,92,89,21.94,ES,1699731758
69,puerto leguizamo,-0.1934,-74.7819,81.82,90,89,2.44,CO,1699731759
70,iqaluit,63.7506,-68.5145,17.33,78,75,11.5,CA,1699731670
71,ilulissat,69.2167,-51.1,19.42,45,75,9.22,GL,1699731688
72,bredasdorp,-34.5322,20.0403,60.17,74,4,12.19,ZA,1699731666
73,mwene-ditu,-7.0,23.45,66.88,96,100,2.93,CD,1699731764
74,capao bonito,-24.0058,-48.3494,91.36,33,12,4.43,BR,1699731765
75,lompoc,34.6391,-120.4579,82.02,33,0,3.44,US,1699731766
76,tiksi,71.6872,128.8694,11.53,88,100,16.28,RU,1699731767
77,st. john's,47.5649,-52.7093,38.97,92,100,19.57,CA,1699731700
78,cobija,-11.0267,-68.7692,100.71,27,85,5.32,BO,1699731770
79,stantsiya novyy afon,43.0806,40.8383,65.46,55,100,6.55,GE,1699731771
80,arkhangel'sk,64.5401,40.5433,19.13,98,64,1.72,RU,1699731772
81,bamboo flat,11.7,92.7167,82.49,83,40,2.3,IN,1699731773
82,wailua homesteads,22.0669,-159.378,81.03,80,100,11.5,US,1699731688
83,waitangi,-43.9535,-176.5597,55.81,85,3,4.0,NZ,1699731777
84,hoi an,15.8794,108.335,78.76,89,11,3.53,VN,1699731778
85,papatowai,-46.5619,169.4708,56.64,52,100,13.02,NZ,1699731779
86,minas de marcona,-15.2119,-75.1103,63.88,76,64,15.05,PE,1699731455
87,skeldon,5.8833,-57.1333,84.07,71,46,9.6,GY,1699731782
88,yellowknife,62.456,-114.3525,32.41,100,75,9.22,CA,1699731783
89,island harbour,50.724,-1.2758,48.47,90,100,7.0,GB,1699731785
90,rio grande,-32.035,-52.0986,73.51,81,49,14.43,BR,1699731786
91,licheng,23.2955,113.8284,70.86,90,98,4.45,CN,1699731787
92,whitehorse,60.7161,-135.0538,30.97,92,75,12.66,CA,1699731524
93,tura,25.5198,90.2201,64.56,87,0,3.89,IN,1699731789
94,altamont,42.2068,-121.7372,52.79,63,31,5.99,US,1699731791
95,mariehamn,60.0973,19.9348,40.82,100,100,1.14,AX,1699731792
96,khandyga,62.6667,135.6,-12.95,96,100,4.12,RU,1699731671
97,broken hill,-31.95,141.4333,62.04,30,31,16.13,AU,1699731795
98,cabo san lucas,22.8909,-109.9124,86.76,54,0,4.61,MX,1699731666
99,sao desiderio,-12.3633,-44.9733,93.99,22,86,7.92,BR,1699731798
100,hadibu,12.65,54.0333,79.84,86,100,13.33,YE,1699731615
101,jianguang,28.1938,115.7836,53.56,85,100,11.05,CN,1699731800
102,praia da vitoria,38.7333,-27.0667,68.25,77,20,8.9,PT,1699731789
103,uturoa,-16.7333,-151.4333,80.71,82,93,11.9,PF,1699731484
104,chonchi,-42.6128,-73.8092,47.41,93,96,10.69,CL,1699731804
105,enewetak,11.3474,162.3373,82.8,76,79,15.88,MH,1699731515
106,hami,42.8,93.45,39.79,26,100,8.39,CN,1699731768
107,invercargill,-46.4,168.35,60.03,56,100,17.0,NZ,1699731684
108,as sulayyil,20.4607,45.5779,71.85,40,24,7.78,SA,1699731810
109,ribeira grande,38.5167,-28.7,68.4,94,75,15.99,PT,1699731811
110,college,64.8569,-147.8028,15.75,82,100,4.61,US,1699731812
111,toliara,-23.35,43.6667,74.89,62,0,10.56,MG,1699731814
112,corner brook,48.9667,-57.9484,37.56,90,100,7.34,CA,1699731815
113,san antonio de pale,-1.4014,5.6325,79.36,83,100,10.78,GQ,1699731672
114,longyearbyen,78.2186,15.6401,24.64,63,75,17.27,SJ,1699731818
115,las praderas,-3.3348,-79.7984,82.08,62,64,7.18,EC,1699731819
116,monterey,36.2505,-121.2516,67.17,24,85,2.04,US,1699731821
117,mercedes,-34.6515,-59.4307,80.94,53,0,6.82,AR,1699731822
118,bayanhongor,46.7167,100.1167,2.23,59,6,4.05,MN,1699731823
119,kandalaksha,67.162,32.4123,10.9,95,37,4.0,RU,1699731824
120,zhongxing,33.7039,118.6792,40.84,73,95,7.9,CN,1699731825
121,nuku'alofa,-21.1333,-175.2,71.94,83,100,14.97,TO,1699731736
122,qusmuryn,52.4503,64.6311,42.71,82,99,8.75,KZ,1699731828
123,olonkinbyen,70.9221,-8.7187,33.82,98,100,12.57,SJ,1699731829
124,vilyuchinsk,52.9306,158.4028,35.87,73,59,43.98,RU,1699731719
125,atafu village,-8.5421,-172.5159,83.52,77,93,8.3,TK,1699731683
126,walvis bay,-22.9575,14.5053,63.55,77,100,8.05,NA,1699731554
127,ust-nera,64.5667,143.2,-28.35,98,72,3.91,RU,1699731751
128,pointe-noire,-4.7761,11.8635,78.35,86,100,2.95,CG,1699731835
129,utrik,11.2278,169.8474,81.73,83,100,18.5,MH,1699731836
130,laguna,38.421,-121.4238,69.64,46,0,4.61,US,1699731837
131,quincy,42.2529,-71.0023,51.76,44,20,14.97,US,1699731838
132,port mathurin,-19.6833,63.4167,76.73,82,6,5.08,MU,1699731839
133,ponta delgada,37.7333,-25.6667,70.2,94,75,8.05,PT,1699731457
134,leh,34.1667,77.5833,31.73,48,0,1.86,IN,1699731842
135,brooks,50.5834,-111.8851,53.22,41,59,25.32,CA,1699731843
136,kirakira,-10.4544,161.9205,79.34,88,100,9.93,SB,1699731845
137,sao vicente,-23.9631,-46.3919,102.38,49,0,4.61,BR,1699731846
138,takoradi,4.8845,-1.7554,79.0,88,14,8.75,GH,1699731615
139,dadiya,9.6167,11.4333,81.81,35,57,2.3,NG,1699731849
140,guiuan,11.0333,125.7247,82.94,76,16,9.19,PH,1699731850
141,dehdasht,30.7949,50.5646,66.43,35,50,2.57,IR,1699731852
142,gargalianoi,37.0667,21.6333,63.36,76,87,7.18,GR,1699731853
143,west island,-12.1568,96.8225,78.78,83,40,9.22,CC,1699731854
144,bam,29.106,58.357,65.23,30,61,1.14,IR,1699731855
145,tateyama,34.9833,139.8667,54.1,83,100,13.69,JP,1699731857
146,kijang,35.2442,129.2139,38.93,41,100,6.78,KR,1699731719
147,sanctuary point,-35.1114,150.629,64.74,81,100,6.17,AU,1699731861
148,jamestown,42.097,-79.2353,43.52,60,100,9.22,US,1699731601
149,flin flon,54.7682,-101.865,35.44,75,0,12.66,CA,1699731865
150,labrador city,52.9463,-66.9114,21.11,79,100,6.91,CA,1699731523
151,reggane,26.7158,0.1714,78.93,19,0,10.25,DZ,1699731867
152,port alfred,-33.5906,26.891,65.17,88,34,4.0,ZA,1699731720
153,vernon,50.2581,-119.2691,51.75,62,95,14.0,CA,1699731863
154,vinukonda,16.05,79.75,71.6,89,66,1.7,IN,1699731872
155,taro,-8.3862,115.28,73.4,96,37,0.51,ID,1699731873
156,saipan,15.1355,145.701,83.1,83,40,19.57,MP,1699731865
157,calbuco,-41.768,-73.1273,49.21,69,65,21.41,CL,1699731876
158,kone,-21.0595,164.8658,72.1,69,33,5.01,NC,1699731737
159,howrah,22.5892,88.3103,75.2,83,0,0.0,IN,1699731878
160,lebu,-37.6167,-73.65,52.32,51,12,15.5,CL,1699731669
161,imbituba,-28.24,-48.6703,83.86,95,100,5.01,BR,1699731881
162,punta arenas,-53.15,-70.9167,50.02,49,0,16.11,CL,1699731706
163,saint-francois,46.4154,3.9054,43.65,99,0,3.44,FR,1699731883
164,manay,7.215,126.5397,76.57,74,33,5.7,PH,1699731886
165,peniche,39.3558,-9.3811,66.29,90,100,15.17,PT,1699731887
166,kasempa,-13.4584,25.8338,74.73,52,100,3.22,ZM,1699731888
167,san luis de la loma,17.2706,-100.8939,85.96,69,8,5.41,MX,1699731757
168,nagqu,31.5,92.0,24.94,63,100,9.82,CN,1699731864
169,xichang,27.8964,102.2634,51.76,88,7,1.92,CN,1699731769
170,mtambile,-5.3833,39.7,78.66,85,92,9.37,TZ,1699731893
171,zelenoborskiy,66.845,32.3622,10.65,90,63,5.14,RU,1699731894
172,matale,7.4721,80.6234,72.09,98,100,1.05,LK,1699731895
173,novodvinsk,64.4165,40.8122,18.79,98,72,2.59,RU,1699731769
174,umba,66.6871,34.3429,20.71,89,6,7.96,RU,1699731897
175,portland,45.5234,-122.6762,54.55,91,100,8.99,US,1699731793
176,krasnyy chikoy,50.3643,108.7512,4.26,97,46,2.48,RU,1699731899
177,sturgeon bay,44.8342,-87.377,43.16,61,100,5.75,US,1699731901
178,papao,-17.75,-149.55,87.48,78,67,12.5,PF,1699731902
179,xuchang,34.0167,113.8167,35.35,78,7,1.39,CN,1699731903
180,ilhabela,-23.7781,-45.3581,78.49,81,1,6.67,BR,1699731905
181,flekkefjord,58.2971,6.6607,38.95,85,99,4.5,NO,1699731907
182,kununurra,-15.7667,128.7333,73.38,94,75,0.0,AU,1699731908
